OLIVIA,"2,032",1,1.3692
EMMA,"1,715",2,1.1556
CHARLOTTE,"1,579",3,1.064
AMELIA,"1,308",4,0.8813
AVA,"1,105",5,0.7446
SOPHIA,"1,105",5,0.7446
CHLOE,"1,088",7,0.7331
MIA,"1,017",8,0.6853
MILA,936,9,0.6307
ISLA,922,10,0.6213
ALICE,879,11,0.5923
SOFIA,878,12,0.5916
LILY,810,13,0.5458
ZOE,784,14,0.5283
ELLA,781,15,0.5262
EVELYN,779,16,0.5249
CHARLIE,777,17,0.5236
ELLIE,727,18,0.4899
ABIGAIL,716,19,0.4825
NORA,715,20,0.4818
SOPHIE,709,21,0.4777
MAYA,702,22,0.473
ARIA,680,23,0.4582
EVA,677,24,0.4562
EMILY,673,25,0.4535
HANNAH,670,26,0.4515
CLARA,659,27,0.444
ISABELLA,643,28,0.4333
ELIZABETH,636,29,0.4285
FLORENCE,612,30,0.4124
ROSE,604,31,0.407
IVY,596,32,0.4016
AVERY,594,33,0.4002
HARPER,592,34,0.3989
LUNA,585,35,0.3942
VIOLET,580,36,0.3908
SCARLETT,568,37,0.3827
HAZEL,549,38,0.3699
ZOEY,548,39,0.3692
LIVIA,546,40,0.3679
VICTORIA,540,41,0.3639
LEA,528,42,0.3558
GRACE,527,43,0.3551
JULIA,522,44,0.3517
WILLOW,501,45,0.3376
ELEANOR,499,46,0.3362
MADISON,493,47,0.3322
ANNA,478,48,0.3221
LAYLA,478,48,0.3221
ROSALIE,474,50,0.3194
CLAIRE,468,51,0.3153
AUDREY,465,52,0.3133
EMILIA,463,53,0.312
HAILEY,458,54,0.3086
EVERLY,455,55,0.3066
STELLA,454,56,0.3059
ELENA,447,57,0.3012
AURORA,435,58,0.2931
JADE,422,59,0.2843
PENELOPE,417,60,0.281
BEATRICE,413,61,0.2783
SARAH,412,62,0.2776
JULIETTE,408,63,0.2749
LUCY,386,64,0.2601
ADDISON,384,65,0.2587
ROMY,384,65,0.2587
QUINN,379,67,0.2554
AYLA,373,68,0.2513
ISABELLE,369,69,0.2486
LEAH,369,69,0.2486
ELIANA,364,71,0.2453
NOVA,353,72,0.2379
NAOMI,347,73,0.2338
RILEY,344,74,0.2318
MAEVE,341,75,0.2298
BROOKLYN,336,76,0.2264
JASMINE,335,77,0.2257
RUBY,333,78,0.2244
ELOISE,319,79,0.2149
SADIE,316,80,0.2129
MACKENZIE,313,81,0.2109
GEORGIA,312,82,0.2102
MARIA,301,83,0.2028
KINSLEY,299,84,0.2015
NORAH,298,85,0.2008
PAISLEY,293,86,0.1974
MADELYN,285,87,0.192
SIENNA,274,88,0.1846
MAEVA,273,89,0.184
GIANNA,272,90,0.1833
LENA,271,91,0.1826
CAMILLE,267,92,0.1799
ATHENA,266,93,0.1792
BRIELLE,264,94,0.1779
JOSEPHINE,264,94,0.1779
LENNON,264,94,0.1779
AUBREY,262,97,0.1765
LILLIAN,262,97,0.1765
NATALIE,262,97,0.1765
FREYA,258,100,0.1738
IRIS,255,101,0.1718
ARYA,254,102,0.1711
RYLEE,254,102,0.1711
MADELINE,252,104,0.1698
GABRIELLA,248,105,0.1671
LYDIA,248,105,0.1671
LEONIE,246,107,0.1658
PEYTON,241,108,0.1624
ELODIE,238,109,0.1604
ANNABELLE,237,110,0.1597
MYA,236,111,0.159
RAPHAELLE,236,111,0.159
MARGOT,234,113,0.1577
WREN,233,114,0.157
ADELINE,232,115,0.1563
BLAKE,223,116,0.1503
RACHEL,223,116,0.1503
ADELE,221,118,0.1489
AUTUMN,216,119,0.1455
EVERLEIGH,215,120,0.1449
SARA,214,121,0.1442
JEANNE,213,122,0.1435
LAURA,213,122,0.1435
FLORA,211,124,0.1422
OPHELIA,211,124,0.1422
LYLA,206,126,0.1388
ALYSSA,205,127,0.1381
SLOANE,205,127,0.1381
PIPER,204,129,0.1375
SUMMER,204,129,0.1375
ZARA,201,131,0.1354
GABRIELLE,198,132,0.1334
SAVANNAH,197,133,0.1327
ALICIA,196,134,0.1321
ANAYA,196,134,0.1321
BELLA,196,134,0.1321
AALIYAH,195,137,0.1314
ARIANA,192,138,0.1294
LEXIE,192,138,0.1294
KIARA,191,140,0.1287
TESSA,191,140,0.1287
FLAVIE,190,142,0.128
MARYAM,190,142,0.128
AMARA,186,144,0.1253
ARIELLE,186,144,0.1253
ELISE,186,144,0.1253
TALIA,186,144,0.1253
MADELEINE,185,148,0.1247
BILLIE,182,149,0.1226
DELILAH,181,150,0.122
KAIA,181,150,0.122
ANNIE,180,152,0.1213
OPHELIE,180,152,0.1213
ALINA,179,154,0.1206
CALLIE,174,155,0.1172
MELODY,174,155,0.1172
ALEXANDRA,172,157,0.1159
ELEONORE,171,158,0.1152
ISABEL,171,158,0.1152
OLIVE,171,158,0.1152
SIMONE,170,161,0.1145
LINA,168,162,0.1132
RIVER,168,162,0.1132
CAMILA,167,164,0.1125
ROSIE,167,164,0.1125
EDEN,166,166,0.1119
EVE,166,166,0.1119
PARKER,166,166,0.1119
KAYLA,165,169,0.1112
SKYLAR,164,170,0.1105
MYLA,163,171,0.1098
ESTELLE,162,172,0.1092
AMAYA,161,173,0.1085
AMBER,161,173,0.1085
ADELAIDE,160,175,0.1078
HARLOW,160,175,0.1078
ANASTASIA,159,177,0.1071
MOLLY,159,177,0.1071
BRIAR,156,179,0.1051
VALENTINA,156,179,0.1051
THEA,155,181,0.1044
GEMMA,154,182,0.1038
ELSIE,153,183,0.1031
JUNE,153,183,0.1031
MILLIE,153,183,0.1031
CECILIA,152,186,0.1024
REMI,152,186,0.1024
SELENA,152,186,0.1024
CELESTE,151,189,0.1017
LAURENCE,151,189,0.1017
LIANA,151,189,0.1017
ARIEL,150,192,0.1011
ELIZA,150,192,0.1011
NEVAEH,150,192,0.1011
LARA,149,195,0.1004
MYRA,146,196,0.0984
DAPHNE,145,197,0.0977
OCTAVIA,145,197,0.0977
PAIGE,145,197,0.0977
BROOKE,144,200,0.097
HADLEY,144,200,0.097
MAISIE,144,200,0.097
POPPY,144,200,0.097
CELINE,143,204,0.0964
OCEANE,143,204,0.0964
ADA,142,206,0.0957
ADALINE,142,206,0.0957
AMIRA,141,208,0.095
AYA,141,208,0.095
BRIANNA,141,208,0.095
KENNEDY,141,208,0.095
SERENA,140,212,0.0943
DAISY,139,213,0.0937
ELISABETH,139,213,0.0937
JUNIPER,139,213,0.0937
KAYLEE,138,216,0.093
ABBY,137,217,0.0923
ESTHER,137,217,0.0923
EVIE,136,219,0.0916
OAKLYNN,136,219,0.0916
FATIMA,134,221,0.0903
LEILA,134,221,0.0903
MAELIE,134,221,0.0903
MIRA,134,221,0.0903
REBECCA,134,221,0.0903
KYLIE,133,226,0.0896
LILLY,133,226,0.0896
NOELIE,132,228,0.0889
REESE,132,228,0.0889
SAMANTHA,132,228,0.0889
TAYLOR,132,228,0.0889
ROWAN,131,232,0.0883
SAGE,131,232,0.0883
JOSIE,129,234,0.0869
KATE,129,234,0.0869
LAUREN,129,234,0.0869
NINA,129,234,0.0869
REHMAT,129,234,0.0869
LANA,128,239,0.0862
ALIYAH,127,240,0.0856
EMERSYN,127,240,0.0856
EMERY,127,240,0.0856
RAYA,127,240,0.0856
SAWYER,127,240,0.0856
ALEXIS,126,245,0.0849
AURELIE,126,245,0.0849
EMBER,126,245,0.0849
VIENNA,124,248,0.0836
AMY,123,249,0.0829
EVELYNE,123,249,0.0829
DELPHINE,122,251,0.0822
GIA,122,251,0.0822
VERA,122,251,0.0822
FIONA,121,254,0.0815
LEIA,121,254,0.0815
MARY,121,254,0.0815
PAYTON,121,254,0.0815
