RYDER,194,187,0.12
ASHTON,190,188,0.1175
JAX,190,188,0.1175
JAMESON,188,190,0.1163
RORY,187,191,0.1157
LORENZO,186,192,0.1151
IAN,185,193,0.1144
RAYAN,185,193,0.1144
BENTLEY,184,195,0.1138
EMERSON,184,195,0.1138
MAYSON,184,195,0.1138
ZION,182,198,0.1126
HUGO,181,199,0.112
ALEX,180,200,0.1113
MOHAMED,178,201,0.1101
SAM,178,201,0.1101
REMY,177,203,0.1095
TYSON,177,203,0.1095
JAYCE,175,205,0.1083
PAUL,175,205,0.1083
KIAN,174,207,0.1076
BRYSON,173,208,0.107
AMIR,171,209,0.1058
ROBERT,170,210,0.1052
NICO,168,211,0.1039
LENNOX,166,212,0.1027
PETER,165,213,0.1021
KYLE,162,214,0.1002
ERIC,160,215,0.099
KAIDEN,159,216,0.0984
YUSUF,156,217,0.0965
CHASE,155,218,0.0959
AARAV,154,219,0.0953
BODHI,153,220,0.0946
CASEY,153,220,0.0946
PATRICK,153,220,0.0946
ALBERT,151,223,0.0934
DAMIEN,151,223,0.0934
AIDAN,150,225,0.0928
LACHLAN,150,225,0.0928
MADDOX,150,225,0.0928
ABEL,149,228,0.0922
BRAYDEN,149,228,0.0922
DEAN,148,230,0.0916
ELIOT,148,230,0.0916
HAYES,148,230,0.0916
LOUKA,148,230,0.0916
AHMED,147,234,0.0909
AYAAN,146,235,0.0903
ROMEO,146,235,0.0903
BECKETT,145,237,0.0897
DAMIAN,145,237,0.0897
JESSE,145,237,0.0897
MOHAMMAD,145,237,0.0897
WAYLON,144,241,0.0891
KABIR,143,242,0.0885
REMI,143,242,0.0885
SULLIVAN,141,244,0.0872
ELIOTT,137,245,0.0847
KALEB,137,245,0.0847
ZANE,137,245,0.0847
ADRIEN,136,248,0.0841
REID,136,248,0.0841
CALVIN,135,250,0.0835
TIMOTHY,135,250,0.0835
JEREMIAH,133,252,0.0823
LUDOVIC,133,252,0.0823
WALTER,133,252,0.0823
CLEMENT,132,255,0.0817
JEREMY,132,255,0.0817
LEWIS,132,255,0.0817
MAXIMUS,131,258,0.081
JAMIE,130,259,0.0804
KEVIN,130,259,0.0804
IVAN,129,261,0.0798
MARK,129,261,0.0798
ROBIN,129,261,0.0798
KINGSTON,128,264,0.0792
SPENCER,128,264,0.0792
TOBIAS,128,264,0.0792
EMMANUEL,127,267,0.0786
GRIFFIN,127,267,0.0786
HARVEY,127,267,0.0786
DAXTON,126,270,0.0779
JULIEN,126,270,0.0779
HENDRIX,125,272,0.0773
TUCKER,125,272,0.0773
ALEXANDRE,124,274,0.0767
MUSA,124,274,0.0767
ODIN,124,274,0.0767
DANTE,123,277,0.0761
HAMZA,123,277,0.0761
ZACKARY,123,277,0.0761
ZAYDEN,123,277,0.0761
FREDERICK,122,281,0.0755
KIAAN,122,281,0.0755
LIONEL,122,281,0.0755
RYLAN,122,281,0.0755
JAD,121,285,0.0749
MARTIN,121,285,0.0749
PHILIPPE,120,287,0.0742
QUINN,120,287,0.0742
ZAIN,117,289,0.0724
BRAXTON,116,290,0.0718
DAX,116,290,0.0718
JOEL,116,290,0.0718
RONAN,116,290,0.0718
XANDER,115,294,0.0711
KADE,114,295,0.0705
